rank,name,nationality,team,points,rider_url
157,STUYVEN Jasper,BE,Lidl - Trek,239.0,https://www.procyclingstats.com/rider/jasper-stuyven
158,TSARENKO Kyrylo,UA,Team Solution Tech - Vini Fantini,239.0,https://www.procyclingstats.com/rider/kyrylo-tsarenko
159,VAN GILS Maxim,BE,Red Bull - BORA - hansgrohe,238.0,https://www.procyclingstats.com/rider/maxim-van-gils
160,GILMORE Brady,AU,Israel Premier Tech Academy,237.0,https://www.procyclingstats.com/rider/brady-gilmore
161,DELETTRE Alexandre,FR,Team TotalEnergies,233.0,https://www.procyclingstats.com/rider/alexandre-delettre
162,FEDOROV Yevgeniy,KZ,XDS Astana Team,233.0,https://www.procyclingstats.com/rider/yevgeniy-fedorov
163,DAINESE Alberto,IT,Tudor Pro Cycling Team,233.0,https://www.procyclingstats.com/rider/alberto-dainese
164,GODON Dorian,FR,Decathlon AG2R La Mondiale Team,232.0,https://www.procyclingstats.com/rider/dorian-godon
165,BIERMANS Jenthe,BE,Arkéa - B&B Hotels,231.0,https://www.procyclingstats.com/rider/jenthe-biermans
166,SIVAKOV Pavel,FR,UAE Team Emirates - XRG,231.0,https://www.procyclingstats.com/rider/pavel-sivakov
167,LARSEN Niklas,DK,BHS - PL Beton Bornholm,231.0,https://www.procyclingstats.com/rider/niklas-larsen
168,FAGÚNDEZ Eric Antonio,UY,Burgos Burpellet BH,229.0,https://www.procyclingstats.com/rider/eric-antonio-fagundez
169,TURGIS Anthony,FR,Team TotalEnergies,229.0,https://www.procyclingstats.com/rider/anthony-turgis
170,BARCELÓ Fernando,ES,Caja Rural - Seguros RGA,229.0,https://www.procyclingstats.com/rider/fernando-barcelo
171,KÜNG Stefan,CH,Groupama - FDJ,229.0,https://www.procyclingstats.com/rider/stefan-kung
172,SOLER Marc,ES,UAE Team Emirates - XRG,228.0,https://www.procyclingstats.com/rider/marc-soler
173,LONARDI Giovanni,IT,Team Polti VisitMalta,228.0,https://www.procyclingstats.com/rider/giovanni-lonardi
174,TEUTENBERG Tim Torn,DE,Lidl - Trek,227.0,https://www.procyclingstats.com/rider/tim-torn-teutenberg
175,HOELGAARD Markus,NO,Uno-X Mobility,226.0,https://www.procyclingstats.com/rider/markus-hoelgaard
176,KONRAD Patrick,AT,Lidl - Trek,225.0,https://www.procyclingstats.com/rider/patrick-konrad
177,BARDET Romain,FR,,224.0,https://www.procyclingstats.com/rider/romain-bardet
178,MALUCELLI Matteo,IT,XDS Astana Team,223.0,https://www.procyclingstats.com/rider/matteo-malucelli
