fantasy_name,team,category,price,pcs_match_found,match_similarity,pcs_name,pcs_rank,pcs_points_2025,pcs_nationality,pcs_team,pcs_url,points_per_credit,value_category
J. SHAW,EF Education - Easypost,Climbers,11,True,1.1,SHAW James,412.0,106.0,GB,EF Education - EasyPost,https://www.procyclingstats.com/rider/james-shaw,9.636363636363637,Poor
H. LOPEZ GRANIZO,XDS Astana Team,Climbers,11,True,1.0,LÓPEZ Harold Martín,47.0,639.0,EC,XDS Astana Team,https://www.procyclingstats.com/rider/harold-martin-lopez,58.09090909090909,Excellent
I. ALVES OLIVEIRA,UAE Team Emirates XRG,All-rounders,11,True,1.0,OLIVEIRA Ivo,332.0,143.0,PT,UAE Team Emirates - XRG,https://www.procyclingstats.com/rider/ivo-emanuel-alves,13.0,Average
M. SOBRERO,Red Bull - Bora - Hansgrohe,All-rounders,11,True,1.0,SOBRERO Matteo,213.0,228.0,IT,Red Bull - BORA - hansgrohe,https://www.procyclingstats.com/rider/matteo-sobrero,20.727272727272727,Good
L. VERVAEKE,Soudal Quick-Step,All-rounders,11,True,1.0,VERVAEKE Louis,639.0,53.0,BE,Soudal Quick-Step,https://www.procyclingstats.com/rider/louis-vervaeke,4.818181818181818,Poor
I. GARCIA CORTINA,Movistar Team,All-rounders,11,True,1.0,GARCÍA CORTINA Iván,217.0,225.0,ES,Movistar Team,https://www.procyclingstats.com/rider/ivan-garcia-cortina,20.454545454545453,Good
J. BERNARD,Lidl-Trek,All-rounders,11,True,1.0,BERNARD Julien,728.0,43.0,FR,Lidl - Trek,https://www.procyclingstats.com/rider/julien-bernard,3.909090909090909,Poor
D. VAN BAARLE,Team Visma | Lease a Bike,All-rounders,11,True,1.0,VAN BAARLE Dylan,413.0,106.0,NL,Team Visma | Lease a Bike,https://www.procyclingstats.com/rider/dylan-van-baarle,9.636363636363637,Poor
F. BARCELO ARAGON,Caja Rural-Seguros RGA,All-rounders,11,True,1.0,BARCELÓ Fernando,169.0,267.0,ES,Caja Rural - Seguros RGA,https://www.procyclingstats.com/rider/fernando-barcelo,24.272727272727273,Good
A. BALDERSTONE ROUMENS,Caja Rural-Seguros RGA,Climbers,11,True,1.0,BALDERSTONE Abel,374.0,121.0,ES,Caja Rural - Seguros RGA,https://www.procyclingstats.com/rider/abel-balderstone-roumens,11.0,Average
N. DENZ,Red Bull - Bora - Hansgrohe,All-rounders,11,True,1.1,DENZ Nico,294.0,165.0,DE,Red Bull - BORA - hansgrohe,https://www.procyclingstats.com/rider/nico-denz,15.0,Average
N. CONCI,XDS Astana Team,All-rounders,10,True,1.1,CONCI Nicola,419.0,104.0,IT,XDS Astana Team,https://www.procyclingstats.com/rider/nicola-conci,10.4,Average
M. BJERG,UAE Team Emirates XRG,All-rounders,10,True,1.1,BJERG Mikkel,636.0,53.0,DK,UAE Team Emirates - XRG,https://www.procyclingstats.com/rider/mikkel-bjerg,5.3,Poor
G. GAROFOLI,Soudal Quick-Step,Climbers,10,True,1.1,GAROFOLI Gianmarco,485.0,86.0,IT,Soudal Quick-Step,https://www.procyclingstats.com/rider/gianmarco-garofoli,8.6,Poor
T. VAN DIJKE,Red Bull - Bora - Hansgrohe,Sprinters,10,True,0.6227142857142857,DJIRE Daouda,1951.0,2.0,ML,,https://www.procyclingstats.com/rider/daouda-djire,0.2,Poor
A. SEGAERT,Lotto,All-rounders,10,True,1.0,SEGAERT Alec,177.0,259.0,BE,Lotto,https://www.procyclingstats.com/rider/alec-segaert,25.9,Good
K. BONNEU,Intermarché - Wanty,Climbers,10,True,1.0,BONNEU Kamiel,860.0,32.0,BE,Intermarché - Wanty,https://www.procyclingstats.com/rider/kamiel-bonneu,3.2,Poor
O. KNIGHT,Cofidis,All-rounders,10,True,1.1,KNIGHT Oliver,329.0,144.0,GB,Cofidis,https://www.procyclingstats.com/rider/oliver-knight,14.4,Average
S. DEHAIRS,Alpecin - Deceuninck,Sprinters,10,True,1.0,DEHAIRS Simon,262.0,188.0,BE,Alpecin - Deceuninck,https://www.procyclingstats.com/rider/simon-dehairs,18.8,Average
G. GLIVAR,Alpecin - Deceuninck,All-rounders,10,True,1.0,GLIVAR Gal,719.0,43.0,SI,Alpecin - Deceuninck,https://www.procyclingstats.com/rider/gal-glivar,4.3,Poor
S. KRAGH ANDERSEN,Lidl-Trek,All-rounders,10,True,1.0,KRAGH ANDERSEN Søren,383.0,117.0,DK,Lidl - Trek,https://www.procyclingstats.com/rider/soren-kragh-andersen,11.7,Average
